model,set_size,sd_actual_deg,sd_normal_deg,w,kappa
bays,1,15.3838,15.2208,0.9988,14.6858
bays,2,24.3438,22.1610,0.9817,7.2217
bays,3,32.2354,27.5798,0.9560,4.8834
bays,4,39.5294,30.4984,0.9051,4.1179
bays,5,45.9966,33.5307,0.8576,3.5293
bays,6,50.0441,34.8318,0.8167,3.3227
bays,7,52.7954,35.8856,0.7920,3.1714
bays,8,59.0622,37.1304,0.7201,3.0083
gp,1,29.7888,13.2093,0.8784,19.3258
gp,2,34.2833,15.2274,0.8539,14.6734
gp,3,40.0820,15.7431,0.8003,13.7624
gp,4,47.9277,18.2109,0.7258,10.4223
gp,5,53.8976,18.2409,0.6605,10.3898
gp,6,65.0422,20.6905,0.5585,8.1999
gp,7,68.2389,22.0152,0.5200,7.3100
gp,8,72.4895,21.8569,0.4758,7.4077
bays,AGG,41.3052,27.6085,0.8570,4.8746
gp,AGG,51.9290,17.0809,0.6766,11.7722
